,Discount,,Discount ,,Interest,,Lending,,,
End ,Rate,,Rate,,on savi-,,Rates,,,
of ,End of ,,Period,,ngs depo-,,Long & ,Short-,,
Dec,Period,,Average,,sits,,Medium,Term,Avrg,
,,,,,,,,,,
1961,,,,,,,,,,
1962,,,,,,,,,,
1963,,,,,,,,,,
1964,,,,,,,,,,
1965,,,,,,,,,,
1966,4.27 - 5.0,,,,3.0,,8.5,8.5,8.5,
1967,4.27 - 5.0,,,,3.5,,8.5,8.5,8.5,
1968,4.27 - 5.0,,,,3.5,,8.5,8.5,8.5,
1969,4.27 - 5.0,,,,3.5,,7.5,8.5,8,
1970,4.27 - 5.0,,,,3.5,,7.5,8.5,8,
1971,4.27 - 5.0,,,,3.5,,7.5,8.5,8,
1972,4.27 - 5.0,,,,3.5,,7.5,8.5,8,
1973,4.27 - 5.0,,,,4.0,,7.5,8.5,8,
1974,4.27 - 5.0,,,,4.0,,7.5,8.5,8,
1975,4.27 - 5.0,,,,4.0,,7.5,8.5,8,
1976,4.27 - 5.0,,,,4.0,,7.5,8.5,8,
1977,4.27 - 5.0,,,,4.0,,7.5,8.5,8,
1978,4.27 - 6.0,,,,5.0,,7.5,7.5,7.5,
1979,4.27 - 6.0,,,,5.0,,7.5,7.5,7.5,
1980,4.27 - 6.0,,,,5.0,,5.0-11.0,7.5-12.0,8 - 9.5,
1981,4.27 - 6.0,,6.0,,6.0,,4.0-12.0,7.5-12.0,9 - 9.5,
1982,4.27 - 6.0,,6.0,,7.5,,5.0-13.5,8.0-12.5,9.25 -10.25,
1983,4.27 - 6.0,,6.0,,7.5,,9.0-13.5,8.0-9.5,8.75-11.25,
1984,4.27 - 6.0,,6.0,,7.5,,9.0-13.5,8.0-9.5,8.75-11.26,
1985,4.27 - 6.0,,6.0,,10.0,,11.0-16.0,11.0-16.0,13.5,
1986,4.27 - 6.0,,6.0,,10.0,,11.0-16.0,11.0-16.0,13.5,
1987,4.27 - 6.0,,6.0,,21.5,,19.0-29.0,18.0-29.0,18.5-24.0,
1988,22.0,,22.0,,21.5,,19.0-29.0,18.0-29.0,18.5-24.1,
1989,22.0,,22.0,,26.0,,21.0-31.0,20.0-31.0,26,
1990,22.0,,22.0,,26.0,,21.0-31.0,20.0-31.0,26,
1991,22.0,,22.0,,26.0,,21.0-31.0,20.0-31.0,26,
1992,27.0,,24.1,,26.0,,21.0-39.0,18.0-31.0,30,
1993,27.0,,27.0,,24.0,,21.0-39.0,22.0-31.0,30,
1994,65.9,,51.8,,26.0,,24.0-39.0,27.7-39.0,33.35,
1995,45.1,,49.9,,27.0,,30.0-40.0,27.7-45.0,35-36.9,
1996,19.0,,24.1,,22.3,,29.0-38.0,28.0-46.0,33.5-37,
1997,16.2,,,,26.1,,24.50,,24.50,
1998,17.6,,,,22.3,,22.50,,22.50,
1999,20.2,,17.1,,7.1,,18.70,,18.70,
2000,10.7,,15.5,,4.7,,23.07,,23.07,
2001,8.7,,9.8,,3.6,,20.06,,20.06,
2002,9.2,,8.9,,2.7,,16.40,,16.40,
2003,12.3,,11.2,,2.5,,14.52,,14.52,
2004,14.4,,13.4,,2.6,,14.14,,14.14,
2005,19.3,,15.6,,2.6,,15.25,,15.25,
2006,20.1,,16.8,,2.6,,15.65,,15.65,
2007,16.4,,19.9,,2.7,,16.07,,16.07,
2008,16.0,,14.1,,2.7,,14.98,,14.98,
2009,3.7,,10.1,,2.8,,15.03,,15.03,
2010,7.6,,7.6,,2.4,,14.55,,14.55,
2011,,,,,,,,,,
Source: BoT various Economic Publications and IFS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
