year,gdp2001,inflation,rexp,dexp,m1,m2,m3,eduties,income,others,ttaxrevenue,exrate
1964,,,694,145,,,,286,141,18,445,
1965,,,777,204,,,,337,152,29,518,
1966,2909642.128,5,884.3,238.1,853,1269,1269,360,184,12,555.6,17.23
1967,3027117.701,9,1023.8,294.4,1192.1,1539.7,1539.7,418.4,232.8,37.9,689.1,17.23
1968,3183900.689,10,1006.7,344.1,1213.9,1498.9,1498.9,488.5,264,348,1100.5,17.23
1969,3242415.138,19,1188.4,460.5,1472.4,1879.5,1879.5,532.9,338.6,379.4,1250.9,17.23
1970,3430465.389,27,1374.7,610.5,1678.900024,2219.600024,2219.600024,704.5,352,520.4,1576.9,17.23
1971,3573848.122,6,1563.4,829.2,2058.400024,2624.400024,2624.400024,766.8,442.4,473,1682.2,18.32
1972,3814159.369,18,1604.8,772.8,2326.799976,3089.699976,3089.699976,781,526.8,551.4,1859.2,16.9
1973,3930741.592,7,2198.4,948.7,2774.7,3653,3653,1105.9,593.3,753.8,2453,16.08
1974,4029010.131,12,2365.4,1642,3456.3,4462,4462,1562.5,692.9,747,3002.4,16.86
1975,4267088.003,30.3,3770.1,2225,4283.8,5552.700024,5552.700024,1949.4,1025,967.9,3942.3,16.8
1976,4540453.214,25.7,3425.4,2188,5331.8,6946.800049,6946.800049,2118,1011,933,4062,14.28
1977,4558697.229,28.9,4808,2763.6,6382.8,8346.699951,8346.699951,2063,1377,1493.7,4933.7,15.35
1978,4655788.946,27.1,5329.4,3877.4,6826.9,9396.300049,9396.300049,3669.6,1664.1,1295.7,6629.4,15.23
1979,4768398.56,36.1,5437.7,4756.8,10435.3999,13806.5999,13806.5999,3499.6,1877.6,1064.8,6442,18.35
1980,4910995.465,33.3,7283.2,4947,13345.9,17519.8001,17519.8001,3741.1,2406.8,1531.7,7679.6,15.8292
1981,4886250.708,32.4,10427.4,4327.8,15401.2,20694.7,20694.7,4784.7,2650.8,1075.9,8511.4,15.507
1982,4915189.492,30,12903,4484,18323.2002,24728.6001,24728.6001,5854,2600,920,9374,18.0884
1983,4799224.656,31.2,14589,4409.9,20564.3002,29127.4002,29127.4002,6973,3022,2534.3,12529.3,15.507
1984,4960694.68,30.4,15944,4465.9,20537.1,30218.1,30218.1,8520,4000,877.9,13397.9,18.0884
1985,5188430.326,35.9,18584.2,6966.3,25270.20176,38971.00195,38971.00195,11960,4680,1842.5,18482.5,21.1105
1986,5286570.548,28.8,19163,7838.6,35809.5,50353.4,50353.4,12102.1,6175.5,3504.2,21781.8,23.5857
1987,5547229.303,21.9,32245.5,6228,47130.6,66442.8998,66442.8998,20113.7,7017.7,275.2,27406.6,75.9492
1988,5793006.42,25.2,36117.2,9325.7,65401,92987.7002,92987.7002,28330.7,10897.7,3328.3,42556.7,226.125
1989,5941727.564,33.1,44235.3,13062.3,82418.7,123800.1004,123800.1004,41715.7,16610.7,4758.7,63085.1,309.7
1990,6311832.411,28.4,76053,22376,111084.9,178061.7984,178061.7984,54558,20195,6718,81471,379.29
1991,6487302.446,21,109445,16488,135925.8,232900.1008,232900.1008,76491,32413,9353,118257,436.69
1992,6605252.27,16.1,128869,32605,185876.2,352272.3,352272.3,96501,40143,16712,153356,519.57
1993,6631607.719,12.8,203069.6,60343.2,247091.054,472017.541,472017.541,77754,45455,23211,146420,710.28
1994,6724454.897,7.9,300273,74689,329624.76,647840.3,731094.3,120617,58505,41236,220358,816.07
1995,6971727.171,5.9,366331.8,31692,428285.14,765908.36,905124.66,163891,86644,49363,299898,852.4
1996,7264351.205,5.147468002,415139.8,5382.3,449213.25,684990.61,818063.01,215954.9,103870.7,63917.9,383743.5,1007.12
1997,7504709.841,4.555248932,486493.7,28895.6,493868.73,760353.287,927068.927,292050.7,125726.2,87577.8,505354.7,1259
1998,7803926,3.4969779,543751,186585.0077,545517,844929.42,1026984.66,321182.1,149787.9,95152.6,566122.6,1277.4
1999,8181671,4.735801439,680182.71,136523.91,632571.21,972088.57,1217626.85,393857.4,162894.1,73356.4,630107.9,1296.1
2000,8585338,5.034570093,808865.4,359913.39,695006.455,1093610.886,1397688.753,400341.8,209713.6,75052,685107.4,1315.1
2001,9100275,7.257455221,1018782.09,286253.19,736402.8956,1221919.809,1624983.509,552379.2,194012.9,81396.3,827788.4,1334.3
2002,9752178,7.042470953,1121526,344610.87,940377.7089,1516807.287,2057103.787,618225.9,220630.8,100410,939266.7,1353.9
2003,10423735,10.26435763,1488640.826,500896.9585,1107197.65,1745738.009,2412944.209,718032.7823,276049.7,111663.5,1105745.982,1063.62
2004,11239734,12.14134399,1780115.071,736828.0619,1359019.155,2125835.886,3068575.585,852647.0387,366650.8889,123500.2446,1342798.172,1042.96
2005,12068089,7.227671317,2093054.945,1071160.599,1791337.109,2960415.609,4250725.011,1017752.111,465454.7,132040.2,1615247.011,1165.51
2006,12881163,7.250972621,2661862.527,1211392.245,2006767.354,3454490.971,5164455.599,1255430.4,554048,136954,1946432.4,1261.64
2007,13801848.84,7.027562929,3137469.497,1337211.406,2590523.116,4394622.659,6223588.637,1594537.8,716320.5,218581.1,2529439.4,1132.09
2008,14828344.81,10.27627628,3398023.927,1810972.038,3158306.256,5468460.76,7458779.088,2008931,974312.1,385727.7,3368970.8,1280.3
2009,15721301,12.15075432,4681459.322,2052618.7,3590798.583,6603404.434,8831195.568,2352483.4,1228645.8,462543.8,4043673,1313.2944
2010,16828563,7.2,5562443.127,2611306.157,4521363.611,8042113.219,11012588.7,2594316.78,1334019.7,499497.2,4427833.68,1453.5378
