agri,fish,mining,manufacturing,electricity,construction,trade,hotels,transport,financial,estates,public_ad,education,other_service,fism,all_industry,taxes,gdp_m,mm
492581.0674,34298.50319,43533.35923,176717.5294,66301.933,111955.6226,294575.237,66390.94998,160028.5782,35873.47364,239585.5555,157063.45,47742.859,47816.46,-21432.31164,1953032.266,145429.32,2098461.586,1953032.266
759288.5523,43444.55016,42605.17445,189712.1202,55838.78,128996.4709,285447.1818,55728.60668,153281.2638,35071.85798,224243.3667,158074.87,47347.794,49752.522,-20979.91103,2207853.2,139048.02,2346901.22,2207853.2
992816.268,40008.46365,39154.74709,197773.7732,57477.658,112562.9157,303030.106,69968.66038,143552.402,36612.97365,229890.3211,160658.67,47428.631,51102.279,-21730.57817,2460307.291,165157.19,2625464.481,2460307.291
391507.1123,35908.483,34685.71922,198196.5772,61081.629,121864.9908,299744.4752,58889.78296,142982.756,32441.69473,242720.7566,164852.01,46213.716,51848.739,-15857.19917,1867081.243,162365.47,2029446.713,1867081.243
497530.4835,38776,50830.63902,182959.6472,70436.207,124299.6204,300101.8669,70003.35544,168392.3021,45748.28765,248840.3348,169235.96,51975.189,52258.252,-26843.4693,2044544.676,146431.53,2190976.206,2044544.676
789356.8901,48750,48944.68936,188501.2983,58637.161,141403.1148,305717.2344,61792.12345,160922.2846,38940.23996,239929.101,172730.44,50480.703,52740.182,-21987.33697,2336858.125,149482.56,2486340.685,2336858.125
1087054.686,41162,45463.90918,221718.5943,54389.104,134002.3338,322114.3101,73827.12931,151417.9029,38043.42334,248592.8757,176642.41,50121.856,53377.473,-21074.60321,2676853.404,176818.33,2853671.734,2676853.404
392536.9403,35361,41760.76244,226020.4602,70621.528,132034.9311,353610.5887,61539.39181,159816.5104,31376.04906,265897.6884,180952.19,49422.252,54139.092,-17094.59052,2037994.794,183193.58,2221188.374,2037994.794
509989.1824,40026,54784.92359,207997.072,70480.807,134323.5507,308604.5388,73436.04725,182691.9677,38622.36938,262910.9249,184552.73,52671.981,55045.147,-21401.40704,2154735.835,163227.89,2317963.725,2154735.835
807078.6642,47651,56599.52663,206147.9046,67792.801,170480.0499,314591.1545,63375.63547,178767.8471,43557.69931,256478.2212,188487.03,52019.435,56128.751,-24190.93691,2484964.783,157775.2,2642739.983,2484964.783
1131871.083,45721,55319.08423,233457.7884,65565.018,153012.908,358764.4461,75002.36669,164291.4018,46314.17547,266596.6622,193640.54,52145.982,56870.073,-26246.60376,2872325.925,184520.29,3056846.215,2872325.925
402017.07,40494,52296.46555,245397.235,67242.374,147183.4914,423737.8607,64021.95059,160188.7835,42148.75584,282746.1917,200079.7,50768.602,57328.029,-25315.0523,2210335.457,195848.61,2406184.067,2210335.457
533316.8969,42762.20602,64836.34707,223593.6208,68572.058,175352.0775,336164.5392,72819.75387,190827.5931,44969.94608,279731.0725,207126.05,55305.445,58113.997,-25931.45431,2327560.149,170543.29,2498103.439,2327560.149
877867.6039,47769.26384,66805.2878,222036.1646,71539.521,177363.702,324680.5336,65868.26824,183694.7072,45650.23445,258940.1302,214159.37,53575.748,59191.19,-25737.47311,2643404.252,164173.33,2807577.582,2643404.252
1194161.789,48257.88209,63915.54693,266492.6358,72517.992,159043.4302,366097.4731,78281.88207,181540.0699,48130.98585,282532.1759,221307.07,54192.11,60247.19,-27582.37523,3069135.858,212220.77,3281356.628,3069135.858
412641.7101,46753.64805,58442.8182,264877.5787,77635.429,171594.7903,459988.4541,68762.09581,201669.6298,46023.83362,319810.6214,228576.52,52836.697,61278.623,-27679.69735,2443212.752,209484.61,2652697.362,2443212.752
551345.6942,49942.20192,69680.01701,243835.7111,76307.032,166986.9335,347884.8253,75422.088,204293.6742,45595.7745,300965.6328,234947.3,57166.974,62036.486,-26715.05486,2459695.29,180085.57,2639780.86,2459695.29
909035.5235,53946.2494,68883.643,249815.1016,75645.148,186496.7972,353372.5149,69280.51168,212471.1456,53007.38975,278664.4068,239830.49,55776.076,62756.205,-31269.05738,2837712.145,185134.72,3022846.865,2837712.145
1263276.647,44846.16955,71789.77016,282416.474,77479.999,206499.6614,392957.4954,80309.52914,207292.1582,49854.64018,324130.5993,245181.19,56558.048,63697.085,-29662.50847,3336626.957,218653.29,3555280.247,3336626.957
424726.1355,47941.37913,84646.56983,294932.7133,85485.821,192359.6079,491691.1644,76860.87119,204794.0221,56236.19557,323029.3611,250827.03,55045.902,64847.225,-31850.37929,2621573.619,228608.42,2850182.039,2621573.619
569666.4362,50022,82112.15014,276754.2307,77237.232,209116.3335,357566.8169,75563.81159,250766.0506,56130.93317,347417.7258,253714.75,60941.877,66011.086,-33585.86902,2699435.564,199643.25,2899078.814,2699435.564
969826.3737,57477,82559.27157,277027.2132,78166.135,206080.2745,428838.1314,71551.46103,225247.9869,53479.57786,288480.0194,255924.94,58889.699,67180.631,-32352.31718,3088376.397,202617.53,3290993.927,3088376.397
1313365.567,53913,88820.50602,302759.9799,78975.383,204704.7742,430562.2881,84194.99251,208350.686,59366.45301,350671.0952,259469.63,59547.798,68226.693,-34802.97897,3528125.867,229457.15,3757583.017,3528125.867
