year,lgdp,grgdp,inf
1952,12.48265832,5.2,2.7
1953,12.53144849,5,3
1954,12.57259043,4.2,4.2
1955,12.61756379,4.6,9.1
1956,12.65293094,3.6,3.4
1957,12.69118965,3.9,3.9
1958,12.75510298,6.6,6.6
1959,12.78369043,2.9,2.9
1960,12.8410155,5.9,5.9
1961,12.89170861,5.2,5.1
1962,12.93092933,4,4.6
1963,13.00974051,8.2,8.1
1964,13.09132049,8.5,8.6
1965,13.11835736,2.740568208,6.3
1966,13.23912011,12.8357172,9.523809524
1967,13.27870024,4.037385905,13.04347826
1968,13.32919704,5.179350336,15.38461538
1969,13.34740752,1.837730062,16.66666667
1970,13.40378489,5.799686676,2.857142857
1971,13.44473234,4.179735731,5.555555556
1972,13.50980979,6.724167158,7.894736842
1973,13.53991778,3.056582411,9.756097561
1974,13.56461033,2.499993413,20
1975,13.62202168,5.909137643,25.92592593
1976,13.68411631,6.406303279,6.617647059
1977,13.68812595,0.401769015,11.72413793
1978,13.7092007,2.129839447,11.72839506
1979,13.73792624,2.914209706,13.8121547
1980,13.76256643,2.494626352,30.09708738
1981,13.75751485,-0.503883775,25.37313433
1982,13.7634201,0.592272168,29.16666667
1983,13.73936898,-2.376419947,26.95852535
1984,13.77263542,3.382594949,36.11615245
1985,13.7985892,2.629351242,33.33333333
1986,13.81685865,1.843736047,32.4
1987,13.8495293,3.321019944,29.98489426
1988,13.88668265,3.785216373,31.20278908
1989,13.91338291,2.705989946,25.81930912
1990,13.97433828,6.285148465,19.71136924
1991,13.9996122,2.559600592,22.28756248
1992,14.01466055,1.516215276,21.90430392
1993,14.02237919,0.774850147,25.36489152
1994,14.03839167,1.614137342,34.125236
1995,14.07783636,4.023295713,29.30205279
1996,14.1186018,4.160775414,21
1997,14.15686017,3.9,16.1
1998,14.19608102,4.1,12.9
1999,14.26374009,4.8,7.8
2000,14.3115772,4.9,6
2001,14.36701191,6,5.2
2002,14.42716583,7.2,4.5
2003,14.48260054,6.9,4.4
2004,14.54745151,7.8,5.6
2005,14.61884153,7.4,4.4
2006,14.6836925,6.7,7.3
2007,14.75228529,7.1,7
2008,14.82739277,7.8,10.3
2009,14.89224374,6.7,11.8
2010,14.95521854,6.5,10.5
