agri,mining,manufac
1535380,242973,373896
1852248,243253,388184
1911050,249368,395861
1555763,256298,396933
1564324,209432,414884
1891347,214250,410122
1938235,220418,428435
1621631,212207,432586
1631251,224830,452060
1915188,217048,455183
1955501,248933,479281
1679417,244601,493508
1760087,214072,496685
2059818,209344,504651
2115071,222701,552022
1785057,197832,540677
1875910,237220,526676
2164958,215875,512368
2219573,271890,580104
1853311,276668,573060
1932457,251980,586720
2231507,263836,564094
2266253,273380,630599
1902219,285089,606978
2009171,278595,622020
2298976,273497,621417
2342542,299696,659510
1971140,290010,651171
2061446,299575,644172
2376706,294749,643721
2432720,312618,684004
2031045,310881,687302
2109895,280573,673407
2446363,304815,682253
2516525,323060,754908
2113947,356397,720832
2181963,335939,728555
2539191,324258,750821
2596221,339767,802505
2180094,383386,742441
