agri,Industry,services,households,extraterirritorial,total
1355.683825,23319.52234,72177.9265,2410.985123,132.258894,99396.37668
1616.536996,25916.74758,81743.72894,2521.583426,145.9953548,111944.5923
1498.832564,23476.11979,74919.12564,2410.034682,147.5473245,102451.66
4258.825073,84309.62696,260828.6335,8693.2087,147.0087217,358237.303
1568.190379,24582.69931,78183.37608,2442.693096,163.5623374,106940.5212
1825.676844,31384.78587,90414.36588,2895.636784,219.6531255,126740.1185
1673.069251,32331.2218,85747.69074,3213.551733,226.3705676,123191.9041
1680.680032,31119.05673,87080.21448,3478.331285,228.60877,123586.8913
1557.962886,27750.2513,76379.72254,2450.610347,228.09063,108366.6377
1566.203001,29497.33645,78600.17687,2555.79495,230.378727,112449.89
1612.382473,27671.37064,79690.64194,2744.851126,231.8758184,111951.122
1663.006182,28142.06958,81876.00311,2835.650964,236.6801724,114753.41
1702.431291,28339.95022,83451.84133,2741.044479,244.5956824,116479.863
1203.882016,41254.06176,88720.15536,1973.355409,195.7454555,133347.2
1216.404236,39694.08334,91643.88755,2044.342506,200.831373,134799.549
1248.058859,40208.00491,91347.99674,2262.632439,204.5860466,135271.279
1335.370196,45603.97079,100667.4453,2264.883412,216.9125931,150088.5823
1511.216783,48237.93144,107793.3979,2330.993606,232.06024,160105.6
1442.693799,45252.90498,104892.1745,2452.333541,238.2431509,154278.35
1501.075318,45925.89804,110363.3516,2554.435141,239.7076268,160584.4677
1607.205282,48906.40628,117226.3796,2726.0911,261.9177479,170728
1789.902116,53475.30389,132867.8122,2858.899257,285.2791819,191277.1966
1914.706442,54952.36501,138392.201,3163.550708,320.4768013,198743.3
1893.14166,55011.56087,138527.267,3071.965836,321.8612343,198825.7966
1764.151841,63054.98127,150469.0419,2916.219751,238.5095171,218442.9043
1916.150043,68881.66668,163706.0922,3260.638914,270.8234147,238035.3713
2015.790282,66067.80306,165264.5014,3180.636118,268.5639932,236797.2949
2001.527136,67274.12402,168083.5403,3368.666369,293.0212122,241020.879
1867.061635,79694.6036,183749.1005,2916.219751,238.5095171,268465.495
2041.052668,85002.00716,197735.8385,3260.638914,270.8234147,288310.3607
2056.397024,84055.2828,199944.075,3180.636118,268.5639932,289504.9549
2217.985684,84232.73478,218868.071,3368.666369,293.0212122,308980.479
1943.408228,99407.78395,223141.3586,3246.965425,235.743819,327975.26
2205.267813,109754.8497,246059.0177,2999.815478,265.6593501,361284.61
2200.167268,114464.7882,261163.2349,3627.972222,274.4714638,381730.634
2527.494562,116308.9127,293294.0878,3614.355452,302.4128208,416047.2634
2811.500275,129709.2188,302119.2299,4262.58079,309.3567973,439211.8865
3100.519895,144352.8515,337652.0693,4264.020794,348.1899624,489717.6514
3271.330243,141364.8582,363189.4334,5105.436943,373.2358903,513304.2947
3277.042961,143898.1143,355658.0367,4978.744979,395.9830443,508207.922
3643.707151,182325.0107,412676.5536,5318.525682,433.1233026,604396.9204
4195.405543,189613.479,436032.1449,5518.583964,554.4993725,635914.1128
3817.058524,176768.8793,404137.2835,6232.66241,496.9632992,591452.8471
4009.176951,162418.5743,407337.9281,6081.519282,497.5131884,580344.7118
3995.488029,186502.245,434172.6208,6105.61109,514.3456532,631290.3106
4354.838243,205730.3313,460395.7802,6389.474397,553.1105779,677423.5347
4111.814687,197882.5743,469595.3765,6936.026795,561.9418268,679087.7341
4233.595949,182825.7503,444590.5847,6967.942596,576.43828,639194.3119
4583.172334,205164.9877,496911.6189,7212.559142,589.0278417,714461.3659
5268.8228,230099.7368,564384.4952,7960.855568,689.423134,808403.3335
5112.69404,218577.6995,552387.0332,8867.417298,712.6208493,785657.4649
5562.744717,223105.9518,581275.5025,8899.881655,774.7460217,819618.8267
5605.000038,246415.6869,614283.9008,8840.392695,734.1603519,875879.1408
6686.294292,293012.3568,717829.076,9335.837845,841.1660568,1027704.731
6518.143256,296492.4677,727734.1664,10264.7515,818.652124,1041828.181
7405.119375,302359.2639,784778.8289,10996.14375,942.3089992,1106481.665
7246.807171,324814.0466,831877.1906,10400.95088,918.2127658,1175257.208
7393.025815,341614.9966,842364.2118,11756.88821,990.5735772,1204119.696
7393.025815,341614.9966,842364.2118,11756.88821,990.5735772,1204119.696
8808.911091,373253.4189,974113.5223,12874.61337,1156.796351,1370207.262
8099.915117,406974.5779,939270.5869,12038.32768,1033.929315,1367417.337
9128.311551,427495.7395,1018929.1,12523.02355,1196.211964,1469272.387
10718.72707,437237.9395,1134577.602,14225.27646,1261.155169,1598020.7
11677.72885,433712.0258,1357374.2,14004.43295,1316.816512,1818085.204
9574.944711,458806.0316,1076875.039,14067.18598,1195.127618,1560518.329
10899.23865,490285.7897,1173979.77,14643.36839,1270.776781,1691078.944
9858.749123,472673.4865,1132908.527,15800.77696,1297.121369,1632538.661
10190.13197,468873.5436,1146312.962,15851.17797,1318.347541,1642546.163
