agriculture,industry,services,households,other
1.363916745,23.46113924,72.61625515,2.425626772,0.133062088
1.444050992,23.15140646,73.0215969,2.252528125,0.130417514
1.462965621,22.91433813,73.12631698,2.352362746,0.144016529
1.188827919,23.53457506,72.80889828,2.426662055,0.041036687
1.46641363,22.98726342,73.10921548,2.284160455,0.152947017
1.44048851,24.76310283,71.33839462,2.284704179,0.173309863
1.358100001,26.24459946,69.60497232,2.608573799,0.183754419
1.359917718,25.17990088,70.46072085,2.814482384,0.18497817
1.437677609,25.60774413,70.48269113,2.261406646,0.21048049
1.39280083,26.23153873,69.89795799,2.272830102,0.204872345
1.440255751,24.71736785,71.18342409,2.451829939,0.207122371
1.449199795,24.5239506,71.34951642,2.471082092,0.206251102
1.461567044,24.33034302,71.64486563,2.353234635,0.209989672
0.902817619,30.93732884,66.53319707,1.479862651,0.146793825
0.902380049,29.44674788,67.98530724,1.516579633,0.148985197
0.922634035,29.72397778,67.52948402,1.672662856,0.151241304
0.889721374,30.38470355,67.07202091,1.509031118,0.144523048
0.943887524,30.12882213,67.32643826,1.455910103,0.144941988
0.935123949,29.33198662,67.98891389,1.589551315,0.154424228
0.934757477,28.59921554,68.72604378,1.590711217,0.149271988
0.941383535,28.64580284,68.66265615,1.596745174,0.153412298
0.935763462,27.9569676,69.46348782,1.494636741,0.149144376
0.963406788,27.64992078,69.63364352,1.591777287,0.161251625
0.952160983,27.66822103,69.67268301,1.545053956,0.161881023
0.80760318,28.86565781,68.88254961,1.335003195,0.109186205
0.804985424,28.93757609,68.77385128,1.36981277,0.113774442
0.851272513,27.9005734,69.79154957,1.34318938,0.113415144
0.83043724,27.91215612,69.73816582,1.397665789,0.121575033
0.695456835,29.68523147,68.44421496,1.086254958,0.088841777
0.707935942,29.48281392,68.58436792,1.130947534,0.09393468
0.710314967,29.03414307,69.06412881,1.098646522,0.092766631
0.717840069,27.26150696,70.83556594,1.090252167,0.094834862
0.592547202,30.30953736,68.03603375,0.990003156,0.071878537
0.610396278,30.37905481,68.10669784,0.830319198,0.073531876
0.576366441,29.98574859,68.41558198,0.95040112,0.07190187
0.607501788,27.9556971,70.49537724,0.868736745,0.072687131
0.640123904,29.53226512,68.78666975,0.970506701,0.070434523
0.633123982,29.47675075,68.94831507,0.870710047,0.071100145
0.637308177,27.54016666,70.75519086,0.994621903,0.072712404
0.644823274,28.31481134,69.98278092,0.979666936,0.077917527
0.602866598,30.16643608,68.27906292,0.879972333,0.071662063
0.659744053,29.81746672,68.56777294,0.867819074,0.087197211
0.645369879,29.88723111,68.32958629,1.053788555,0.084024162
0.690826826,27.98656918,70.18896181,1.047914999,0.085727186
0.632908182,29.54302353,68.77542923,0.967163758,0.081475297
0.642853107,30.36952819,67.96276725,0.943202305,0.081649153
0.605490937,29.13947114,69.15091422,1.021374183,0.082749518
0.66233317,28.60253086,69.55484059,1.090113361,0.09018201
0.641486377,28.71603665,69.55052332,1.009510029,0.082443624
0.651756689,28.46348194,69.81471647,0.984762833,0.085282075
0.650753575,27.82099188,70.30888878,1.128662005,0.090703758
0.678698992,27.22069632,70.92022335,1.085856177,0.094525162
0.639928476,28.13352612,70.13340908,1.009316501,0.083819824
0.650604604,28.51133677,69.84779327,0.908416354,0.081849001
0.625644744,28.45886424,69.85164922,0.985263375,0.07857842
0.669249171,27.32618836,70.92560625,0.99379358,0.08516264
0.616614569,27.63769874,70.78256444,0.884993583,0.078128665
0.61397765,28.37051813,69.95685018,0.976388664,0.082265374
0.61397765,28.37051813,69.95685018,0.976388664,0.082265374
0.642888951,27.24065397,71.09242151,0.939610651,0.084424918
0.592351354,29.7622801,68.68938703,0.880369683,0.075611833
0.621281093,29.09574448,69.34923092,0.852328245,0.081415262
0.670750202,27.36121876,70.99893023,0.890180988,0.078919827
0.642309218,23.85542904,74.65954824,0.770284743,0.072428757
0.613574639,29.40087425,69.00752263,0.901443176,0.076585298
0.644513888,28.99248385,69.42193767,0.865918675,0.075145917
0.603890698,28.95327981,69.39550983,0.967865407,0.079454251
0.620386337,28.54553218,69.78878206,0.965036985,0.080262435
