agri,mining,manufacturing,elecgas,water,construction,Industry,trade,transport,accomodation,ict,finance,real_estates,professional,administration,public_admin,education,health,recreation,other_service,households,extraterirritorial,total
1355.683825,4316.401313,14278.73299,176.6955386,71.89240353,4475.80009,23319.52234,13428.56203,5307.61401,8154.227842,3246.659031,3352.928785,2108.028646,3017.862228,28360.83812,2452.094702,984.202132,1255.475468,65.19435165,444.2391565,2410.985123,132.258894,99396.37668
1616.536996,5519.117104,14793.89075,217.9128237,81.45585494,5304.371046,25916.74758,15375.0143,6093.150484,9128.230333,3690.308824,4030.666921,2489.630676,3649.594147,31628.46916,2720.770771,1079.367836,1323.185028,72.59799221,462.7424277,2521.583426,145.9953548,111944.5923
1498.832564,5017.6965,13465.22701,193.9319132,77.04075399,4722.223612,23476.11979,14203.72875,5640.07761,8103.54049,3403.644731,3694.61831,2210.323775,3397.443672,28628.581,2717.440696,1079.816937,1319.710937,68.67883924,451.5199103,2410.034682,147.5473245,102451.66
4258.825073,16308.95117,38275.86232,848.6410458,380.2834002,28495.88902,84309.62696,60455.30321,18011.52905,18931.116,12893.08766,4163.376946,13860.0368,8301.764477,116679.3412,4053.900459,1073.480009,1332.912511,214.7921446,857.9930417,8693.2087,147.0087217,358237.303
1568.190379,5208.124381,14365.94329,196.4542048,78.08607085,4734.09136,24582.69931,14645.84301,6001.839902,8251.98672,3572.758148,3989.403798,2214.574491,3626.532559,29697.3973,2980.509672,1182.048274,1452.24787,72.16876044,496.0655338,2442.693096,163.5623374,106940.5212
1825.676844,8687.43384,16617.47285,251.6407378,97.31164458,5730.926794,31384.78587,16151.91035,6602.164862,9116.145658,4168.077206,4300.393381,2558.116848,4603.536523,35398.86367,3711.581668,1426.459198,1694.810575,79.16148225,603.1444787,2895.636784,219.6531255,126740.1185
1673.069251,10889.29844,15250.68576,265.9160087,100.5189451,5824.80265,32331.2218,14579.18527,6199.110011,8944.574723,3831.367444,3517.750056,2444.52726,4584.876517,34599.62159,3516.985845,1333.114228,1535.382475,65.86521018,595.3301428,3213.551733,226.3705676,123191.9041
1680.680032,10022.94208,14949.84736,260.6785536,102.4980958,5783.090639,31119.05673,15208.22385,6358.159477,9538.968038,3836.998363,3578.022348,2440.155243,4460.193295,34346.31709,3615.706819,1392.408553,1621.583872,67.8034442,615.6740583,3478.331285,228.60877,123586.8913
1557.962886,7368.749367,14924.95841,193.0827641,99.63274782,5163.828013,27750.2513,14672.93174,5824.546957,4016.315839,3964.316535,2929.462127,2325.176592,4016.948968,31057.28236,3843.26165,1409.843022,1653.772098,72.94274096,592.9218839,2450.610347,228.09063,108366.6377
1566.203001,7748.69438,15883.78353,203.8669692,107.4076456,5553.583924,29497.33645,15025.73961,5721.564272,4106.633199,4126.751829,2592.953113,2501.603774,3962.319387,32973.65403,3883.766228,1402.567457,1638.155473,74.41608116,590.0524157,2555.79495,230.378727,112449.89
1612.382473,6872.22487,15048.62699,198.2836909,106.9565112,5445.278579,27671.37064,15840.00439,5909.628535,4525.611848,4118.533472,2915.92377,2489.187454,3973.503016,32041.79171,3991.464271,1469.83756,1731.582025,78.03921753,605.534669,2744.851126,231.8758184,111951.122
1663.006182,6878.165084,15413.43961,201.3397702,108.2547683,5540.870343,28142.06958,16506.58963,5984.756727,4589.595807,4233.64066,3102.260902,2570.12591,4107.476106,32678.58432,4103.093578,1508.753122,1790.816279,82.15503228,618.1550298,2835.650964,236.6801724,114753.41
1702.431291,6758.686078,15713.60285,200.7400353,114.3069552,5552.614297,28339.95022,16239.56659,6803.096082,4861.456727,4289.00923,2991.254894,2515.628379,4033.00959,33279.94221,4261.893112,1590.229191,1865.985752,83.56625576,637.2033215,2741.044479,244.5956824,116479.863
1203.882016,8370.459804,25533.04998,3480.738669,92.76663769,3777.046671,41254.06176,12821.81598,7677.381669,3385.766237,18400.70664,9880.47385,1445.44269,3488.475692,17217.90992,6997.802422,1401.737162,1499.674754,56.32085163,4446.647487,1973.355409,195.7454555,133347.2
1216.404236,8847.254854,23828.67902,3040.124485,94.91332749,3883.111649,39694.08334,13401.90434,7574.307627,3403.975908,17580.00245,11659.8472,1442.797702,3365.673546,17345.51114,7293.638076,1452.421524,1552.149298,56.23750979,5515.421226,2044.342506,200.831373,134799.549
1248.058859,8936.861654,23871.58071,3152.978553,98.07791907,4148.506077,40208.00491,13878.55537,7579.787918,3474.653289,17158.95056,10322.63487,1611.430828,3617.335498,18539.8414,7476.134731,1451.615847,1550.776201,58.21846799,4628.061763,2262.632439,204.5860466,135271.279
1335.370196,9466.928247,27887.98059,3780.826719,104.0781326,4364.157103,45603.97079,14839.40777,8502.338429,3646.437249,20146.74,11677.04297,1692.948513,3874.039543,19576.33104,7975.260801,1548.378654,1658.449731,62.99600487,5467.074612,2264.883412,216.9125931,150088.5823
1511.216783,10191.10782,29291.43637,3808.137463,110.9586817,4836.291109,48237.93144,16036.20997,8734.286133,3951.58139,21082.05495,12698.27267,1888.329806,4238.523578,21549.7254,8421.764002,1667.598414,1789.705416,68.55350034,5666.792698,2330.993606,232.06024,160105.6
1442.693799,9674.780948,27338.09024,3438.965339,111.9966968,4689.071754,45252.90498,15826.01475,8562.441981,3958.86057,19720.03881,12044.81128,1833.525781,4057.381813,21218.57809,8368.650479,1693.171614,1820.807642,68.790906,5719.100814,2452.333541,238.2431509,154278.35
1501.075318,10018.94124,27511.35424,3536.936916,114.3526428,4744.313003,45925.89804,16614.22353,8756.667715,4110.449108,19675.8519,14177.77556,1837.179143,4185.441654,21372.68228,8795.974887,1728.628832,1853.744987,70.69044749,7184.041513,2554.435141,239.7076268,160584.4677
1607.205282,10211.25207,29664.58484,3881.340324,121.7846767,5027.444369,48906.40628,17614.85848,9855.05391,4639.557159,21162.19556,14143.09719,1970.945525,4530.829503,22976.09038,9326.494204,1870.747476,2017.453807,75.77515482,7043.28124,2726.0911,261.9177479,170728
1789.902116,12306.01915,31372.34655,3654.624587,142.0047925,6000.308808,53475.30389,20101.64786,10591.92841,4857.996969,22197.05028,17358.18697,2349.667059,5014.929026,26557.13715,11163.4354,2082.701975,2201.657131,85.48571826,8305.988171,2858.899257,285.2791819,191277.1966
1914.706442,12019.8188,32519.60693,4283.313099,148.7830859,5980.843097,54952.36501,21001.69277,11091.41242,5345.936934,23030.58349,17602.10531,2313.898473,5261.654426,27187.64047,11732.15152,2298.958939,2449.148546,89.56215397,8987.455568,3163.550708,320.4768013,198743.3
1893.14166,11994.17565,32946.15339,4194.483925,145.0528163,5731.69509,55011.56087,20428.75602,10761.47552,6093.857507,23715.83224,18141.99662,2147.717023,5104.513559,26378.41378,11663.18489,2335.496203,2486.74389,87.55498935,9181.724714,3071.965836,321.8612343,198825.7966
1764.151841,13109.16716,38092.8938,6004.381039,141.8804446,5706.65883,63054.98127,20500.68425,12770.39966,5399.918692,26142.78349,21626.31369,2183.460063,5009.428825,25237.02887,16725.92281,2012.086779,1883.117763,79.78328067,10898.11373,2916.219751,238.5095171,218442.9043
1916.150043,15133.67267,41281.61666,6071.161104,158.7236065,6236.49264,68881.66668,22230.97932,13379.11095,5665.392026,28853.86938,23510.68181,2343.055436,5456.596904,27436.30076,18937.85191,2275.17862,2108.602796,87.47917452,11420.99321,3260.638914,270.8234147,238035.3713
2015.790282,13779.57219,40205.98353,5943.19825,152.8556769,5986.193416,66067.80306,22294.54759,13270.61328,5950.250853,28124.61377,25584.38959,2253.651355,5215.409051,26755.7233,17817.18494,2238.664212,2103.147695,85.89439161,13570.41143,3180.636118,268.5639932,236797.2949
2001.527136,14486.45875,40575.97767,5957.82975,161.2704865,6092.587363,67274.12402,22790.43667,13211.04045,6257.536673,28440.10002,25460.57621,2243.037921,5441.178662,27306.89074,18794.24972,2415.233253,2275.565298,89.18281182,13358.51186,3368.666369,293.0212122,241020.879
1867.061635,16926.88773,48505.48088,7906.17562,158.9983841,6197.060985,79694.6036,22727.44617,15071.92033,5757.879803,33797.11647,30120.42726,2190.10932,5561.13525,26149.86803,22903.70867,2226.099179,1894.242546,79.78328445,15269.36415,2916.219751,238.5095171,268465.495
2041.052668,18387.66459,51377.64108,8378.129878,177.4064589,6681.165155,85002.00716,24545.74523,15914.79878,6070.906233,35773.54191,31945.67208,2354.806345,6011.745266,28278.24617,26324.45859,2532.550756,2120.981041,87.47918294,15774.90693,3260.638914,270.8234147,288310.3607
2056.397024,18247.13452,51013.38267,8076.108739,178.2531524,6540.403721,84055.2828,24384.53111,15902.34593,6380.916155,35587.21693,33495.28737,2262.651175,5871.256774,27758.48958,26852.30453,2548.608754,2114.680462,85.89438646,16699.8918,3180.636118,268.5639932,289504.9549
2217.985684,18610.92498,50510.93715,8189.826407,192.4259094,6728.620338,84232.73478,26353.87455,16656.36386,6705.764962,34727.64866,40171.96972,2250.636818,6095.329157,28444.16685,30497.05621,2815.32589,2286.039833,89.18282316,21774.71165,3368.666369,293.0212122,308980.479
1943.408228,21015.85028,61203.61101,10585.50299,182.1901897,6420.629484,99407.78395,25230.25539,18948.31075,7050.403936,43179.40474,38175.77395,2085.679362,6146.877551,26175.02733,33520.60174,2616.212557,1964.71409,82.21350188,17965.88368,3246.965425,235.743819,327975.26
2205.267813,22983.95348,68012.43769,11883.20127,186.2914126,6688.965831,109754.8497,27233.45573,20206.2661,7087.078602,48881.05792,45022.5759,2068.693303,6702.200972,27321.81396,33644.71364,2789.868644,2156.597206,85.62933604,22859.06636,2999.815478,265.6593501,361284.61
